index,path,symbol,coin_name,UCID,key_derivation,xprv_priv_header,xprv_pub_header,pub_key_hash,script_hash,wif,main_version_byte,test_version_bytes,evm,comment,status,level
84,0x80000054,GRC,Gridcoin,,,0x0488ADE4,0x0488B21E,0x3e,0x55,0xbe,,,,,,1
85,0x80000055,AUR,Auroracoin,148,,0x0488ADE4,0x0488B21E,0x17,0x05,0x97,,,,,,1
86,0x80000056,IXC,IXCoin,13,,0x0488ADE4,0x0488B21E,0x8a,0x05,0x05,,,,,,1
87,0x80000057,NLG,Gulden,,,0x0488ADE4,0x0488B21E,0x26,0x62,0x62,,,,Maybe not correct,,1
88,0x80000058,BITB,Bean Cash,819,,,,,,,,,,,,1
89,0x80000059,BTA,Bata,945,secp256k1,0xA40B91BD,0xA40C86FA,0x19,0x05,0xa4,,,,,,1
90,0x8000005a,XMY,Myriadcoin,,,0x0488ADE4,0x0488B21E,0x32,0x09,0xb2,,,,,,1
91,0x8000005b,BSD,BitSend,,,0x0488ADE4,0x0488B21E,0x66,0x05,0xcc,,,,,,1
92,0x8000005c,UNO,Unobtanium,67,secp256k1,0x0488ADE4,0x0488B21E,0x82,0x1e,0xe0,,,,,,1
93,0x8000005d,MTR,MasterTrader,,,,,,,,,,,,,1
94,0x8000005e,GB,GoldBlocks,1285,,,,,,,,,,,,1
95,0x8000005f,SHM,Saham,,,,,,,,,,,,,1
96,0x80000060,CRX,Chronos,,,,,,,,,,,,,1
97,0x80000061,BIQ,Ubiquoin,,,,,,,,,,,,,1
98,0x80000062,EVO,Evotion,,,,,,,,,,,,,1
99,0x80000063,STO,SaveTheOcean,,,,,,,,,,,,,1
100,0x80000064,BIGUP,BigUp,,,,,,,,,,,,,1
101,0x80000065,GAME,GameCredits,,,0x0488ADE4,0x0488B21E,0x26,0x05,0xa6,,,,,,1
102,0x80000066,DLC,Dollarcoins,,,,,,,,,,,,,1
103,0x80000067,ZYD,Zayedcoin,,,,,,,,,,,,,1
104,0x80000068,DBIC,Dubaicoin,,,,,,,,,,,,,1
105,0x80000069,STRAT,Stratis,,,0x0488ADE4,0x0488B21E,0x3f,0x7d,0xbf,,,,,,1
106,0x8000006a,SH,Shilling,,,,,,,,,,,,,1
107,0x8000006b,MARS,MarsCoin,,,,,,,,,,,,,1
108,0x8000006c,UBQ,Ubiq,,,,,,,,,,,,,1
109,0x8000006d,PTC,Pesetacoin,,,,,,,,,,,,,1
110,0x8000006e,NRO,Neurocoin,,,0x0488ADE4,0x0488B21E,0x35,0x75,0xb5,,,,,,1
111,0x8000006f,ARK,ARK,,,,,,,,,,,,,1
112,0x80000070,USC,UltimateSecureCashMain,,,0xEE8031E8,0xEE80286A,0x44,0x7d,0xbf,,,,,,1
