status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
,125,XST,StealthCoin,,,,,,,,,,
,126,BRK,Breakout Coin,,,,,,,,,,
,127,VC,Vcash,,,,,0x47,0x08,0xc7,,,
,129,VOX,Voxels,,,,,,,,,,
,130,NAV,NavCoin,,,,,0x35,0x55,0x96,,,
,131,FCT,Factom Factoids,,,,,,,,,,
,132,EC,Factom Entry Credits,,,,,,,,,,
,133,ZEC,Zcash,secp256k1,sha256,,,0x1CB8,0x1CBD,,,,
,134,LSK,Lisk,,,,,,,,,,
,135,STEEM,Steem,,,,,,,,,,
,136,XZC,ZCoin,,,,,0x52,0x07,0xd2,,,
,137,RBTC,Rootstock,,,,,,,,,,
,138,,Giftblock,,,,,,,,,,
,139,RPT,RealPointCoin,,,,,,,,,,
,140,LBC,LBRY Credits,,,,,0x55,0x7a,0x1c,,,
,141,KMD,Komodo,,,,,0x3c,0x55,0xbc,,,
,142,BSQ,bisq Token,,,,,,,,,,
,143,RIC,Riecoin,,,,,,,,,,
,146,NEBL,Neblio,,,,,0x35,0x70,0xb5,,,
,147,ZCL,ZClassic,,,,,0x1CB8,0x1CBD,,,,
,149,NLC2,NoLimitCoin2,,,,,,,,,,
,150,WHL,WhaleCoin,,,,,,,,,,
,151,ERC,EuropeCoin,,,,,0x21,,0xa8,,,
,152,DMD,Diamond,,,,,0x5a,0x08,0xda,,,
,153,BTM,Bytom,,,,,,,,,,
,154,BIO,Biocoin,,,,,,,,,,
,155,XWCC,Whitecoin Classic,,,,,,,,,,
,156,BTG,Bitcoin Gold,,,,,0x26,0x17,,,,
,157,BTC2X,Bitcoin 2x,,,,,,,,,,
,158,SSN,SuperSkynet,,,,,,,,,,
,159,TOA,TOACoin,,,,,0x41,0x17,0xc1,,,
,160,BTX,Bitcore,,,,,0x03,0x7D,,,,
🟢,161,ACC,Adcoin,secp256k1,sha256,,,0x17,,0xb0,,,
,162,BCO,Bridgecoin,,,,,,,,,,
,163,ELLA,Ellaism,,,,,,,,,,
,164,PIRL,Pirl,,,,,,,,,,
,165,XNO,Nano,,,,,,,,,,
,166,VIVO,Vivo,,,,,0x46,0x0a,0xc6,,,
,167,FRST,Firstcoin,,,,,0x23,,0xa3,,,
,168,HNC,Helleniccoin,,,,,0x30,,0xb0,,,
,169,BUZZ,BUZZ,,,,,,,,,,
,170,MBRS,Ember,,,,,,,,,,
,171,HC,Hcash,,,,,,,,,,
,172,HTML,HTMLCOIN,,,,,,,,,,
,173,ODN,Obsidian,,,,,,,,,,
,174,ONX,OnixCoin,,,,,,,,,,
,175,RVN,Ravencoin,,,,,0x3c,0x7a,,,,
,176,GBX,GoByte,,,,,0x26,0x0a,0xc6,,,
,177,BTCZ,BitcoinZ,,,,,0x1CB8,0x1CBD,,,,
,178,POA,Poa,,,,,,,,,,
,179,NYC,NewYorkCoin,,,,,0x3c,0x16,0xbc,,,
,180,MXT,MarteXcoin,,,,,,,,,,
,181,WC,Wincoin,,,,,0x49,0x1c,0xc9,,,
,182,MNX,Minexcoin,,,,,0x4b,,,,,
,183,BTCP,Bitcoin Private,,,,,0x1325,0x13AF,,,,
,184,MUSIC,Musicoin,,,,,,,,,,
,185,BCA,Bitcoin Atom,,,,,0x17,0x0a,,,,
,186,CRAVE,Crave,,,,,0x46,0x55,0x99,,,
,187,STAK,STRAKS,,,,,,,,,,
,188,WBTC,World Bitcoin,,,,,,,,,,
,189,LCH,LiteCash,,,,,,,,,,
,190,EXCL,ExclusiveCoin,,,,,0x21,0x89,0xa1,,,
,191,LYNX,Lynx,,,,,0x2d,0x32,0xad,,,
,192,LCC,LitecoinCash,,,,,0x1c,,0xb0,,,
,193,XFE,Feirm,,,,,,,,,,
,196,KOBO,Kobocoin,,,,,0x23,0x1c,0xa3,,,
,197,HUSH,HUSH,,,,,0x1CB8,0x1CBD,,,,
,198,BAN,Banano,,,,,,,,,,
,199,ETF,ETF,,,,,,,,,,
,200,OMNI,Omni,,,,,,,,,,
,201,BIFI,BitcoinFile,,,,,,,,,,
,202,UFO,Uniform Fiscal Object,,,,,,,,,,
,203,CNMC,Cryptonodes,,,,,,,,,,
,204,BCN,Bytecoin,,,,,,,,,,
,205,RIN,Ringo,,,,,,,,,,
,206,ATP,Alaya,,,,,,,,,,
,207,EVT,everiToken,,,,,,,,,,
,208,ATN,ATN,,,,,,,,,,
,209,BIS,Bismuth,,,,,,,,,,
,210,NEET,NEETCOIN,,,,,,,,,,
,211,BOPO,BopoChain,,,,,,,,,,
,212,OOT,Utrum,,,,,,,,,,
,213,ALIAS,Alias,,,,,,,,,,
,214,MONK,Monkey Project,,,0x0488DDE4,,0x33,0x1c,0x37,,,
,215,BOXY,BoxyCoin,,,,,,,,,,
,216,FLO,Flo,,,,,,,,,,
,217,MEC,Megacoin,,,,,0x32,,0xB2,,,
,218,BTDX,BitCloud,,,,,0x19,,0x99,,,
,219,XAX,Artax,,,,,0x17,0x1CBD,0x97,,,
,220,ANON,ANON,,,,,0x0582,0x5389,,,,
,221,LTZ,LitecoinZ,,,,,0x0AB3,0x0AB8,,,,
,222,BITG,Bitcoin Green,,,,,0x26,0x1CBD,0x2E,,,
,223,ICP,Internet Computer (DFINITY),,,,,,,,,,
,224,SMART,Smartcash,,,,,,,,,,
,225,XUEZ,XUEZ,,,0x0221312B,0x022D2533,0x4b,0x12,0xd4,,,
,226,HLM,Helium,,,,,,,,,,
,227,WEB,Webchain,,,,,,,,,,
,228,ACM,Actinium,,,,,,,,,,
,229,NOS,NOS Stable Coins,,,,,,,,,,
,230,BITC,BitCash,,,,,,,,,,
,231,HTH,Help The Homeless Coin,,,,,,,,,,
,232,TZC,Trezarcoin,,,,,,,,,,
,233,VAR,Varda,,,,,,,,,,
,234,IOV,IOV,,,,,,,,,,
,235,FIO,FIO,,,,,,,,,,
,237,DXN,DEXON,,,,,,,,,,
,238,QRL,Quantum Resistant Ledger,,,,,,,,,,
,239,PCX,ChainX,,,,,,,,,,
,240,LOKI,Loki,,,,,,,,,,
,241,,Imagewallet,,,,,,,,,,
,242,NIM,Nimiq,,,,,,,,,,
,243,SOV,Sovereign Coin,,,,,,,,,,
,244,JCT,Jibital Coin,,,,,,,,,,
,245,SLP,Simple Ledger Protocol,,,,,,,,,,
,246,EWT,Energy Web,,,,,,,,,,
,247,UC,Ulord,,,,,,,,,,
,248,EXOS,EXOS,,,,,,,,,,
,249,ECA,Electra,,,,,,,,,,
,250,SOOM,Soom,,,,,,,,,,
,251,XRD,Redstone,,,,,,,,,,
,252,FREE,FreeCoin,,,,,,,,,,
,253,NPW,NewPowerCoin,,,,,,,,,,
,254,BST,BlockStamp,,,,,,,,,,
,255,STH,SmartHoldem,,,,,,,,,,
,256,NANO,Bitcoin Nano,,,,,,,,,,
,257,BTCC,Bitcoin Core,,,,,,,,,,
,258,ZP,Zen Protocol,,,,,,,,,,
,259,ZEST,Zest,,,,,,,,,,
,260,ABT,ArcBlock,,,,,,,,,,
,261,PION,Pion,,,,,,,,,,
,262,DT3,DreamTeam3,,,,,,,,,,
,263,ZBUX,Zbux,,,,,,,,,,
,264,KPL,Kepler,,,,,,,,,,
,265,TPAY,TokenPay,,,,,,,,,,
,266,ZILLA,ChainZilla,,,,,,,,,,
,267,ANK,Anker,,,,,,,,,,
,268,BCC,BCChain,,,,,,,,,,
,269,HPB,HPB,,,,,,,,,,
,270,ONE,ONE,,,,,,,,,,
,271,SBC,SBC,,,,,,,,,,
,272,IPC,IPChain,,,,,,,,,,
,273,DMTC,Dominantchain,,,,,,,,,,
,274,OGC,Onegram,,,,,,,,,,
,275,SHIT,Shitcoin,,,,,,,,,,
,276,ANDES,Andescoin,,,,,,,,,,
,277,AREPA,Arepacoin,,,,,,,,,,
,278,BOLI,Bolivarcoin,,,,,0x55,,0xD5,,,
,279,RIL,Rilcoin,,,,,,,,,,
,280,HTR,Hathor Network,,,,,,,,,,
,281,ACME,Accumulate,,,,,,,,,,
,282,BRAVO,BRAVO,,,,,,,,,,
,284,BZX,Bitcoinzero,,,,,,,,,,
,285,GXX,GravityCoin,,,,,,,,,,
,286,HEAT,HEAT,,,,,,,,,,
,287,XDN,DigitalNote,,,,,,,,,,
,288,FSN,FUSION,,,,,,,,,,
,289,CPC,Capricoin,,,,,,,,,,
,290,BOLD,Bold,,,,,,,,,,
,291,IOST,IOST,,,,,,,,,,
,292,TKEY,Tkeycoin,,,,,,,,,,
,293,USE,Usechain,,,,,,,,,,
,294,BCZ,BitcoinCZ,,,,,,,,,,
,295,IOC,Iocoin,,,,,,,,,,
,296,ASF,Asofe,,,,,,,,,,
,297,MASS,MASS,,,,,,,,,,
,298,FAIR,FairCoin,,,,,,,,,,
,299,NUKO,Nekonium,,,,,,,,,,
,300,GNX,Genaro Network,,,,,,,,,,
,301,DIVI,Divi Project,,,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,,
,302,CMT,Community,,,,,,,,,,
,303,EUNO,EUNO,,,,,,,,,,
,304,IOTX,IoTeX,,,,,,,,,,
,305,ONION,DeepOnion,,,,,0x1F,0x4E,0x9F,,,
,306,8BIT,8Bit,,,,,,,,,,
,307,ATC,AToken Coin,,,,,,,,,,
,308,BTS,Bitshares,,,,,,,,,,
,310,UGAS,Ultrain,,,,,,,,,,
,311,ADS,Adshares,,,,,,,,,,
,312,ARA,Aura,,,,,,,,,,
,313,ZIL,Zilliqa,,,,,,,,,,
,314,MOAC,MOAC,,,,,,,,,,
,315,SWTC,SWTC,,,,,,,,,,
,316,VNSC,vnscoin,,,,,,,,,,
,317,PLUG,Plug,,,,,,,,,,
,318,MAN,Matrix AI Network,,,,,,,,,,
,319,ECC,ECCoin,,,,,,,,,,
,320,RPD,Rapids,,,,,0x3d,0x06,0x2e,,,
,321,RAP,Rapture,,,,,,,,,,
,322,GARD,Hashgard,,,,,,,,,,
,323,ZER,Zero,,,,,,,,,,
,324,EBST,eBoost,,,,,,,,,,
,325,SHARD,Shard,,,,,,,,,,
,326,MRX,Metrix Coin,,,,,,,,,,
,327,CMM,Commercium,,,,,,,,,,
,328,BLOCK,Blocknet,,,,,,,,,,
,329,AUDAX,AUDAX,,,,,,,,,,
,330,LUNA,Terra,,,,,,,,,,
,331,ZPM,zPrime,,,,,,,,,,
,332,KUVA,Kuva Utility Note,,,,,,,,,,
,333,MEM,MemCoin,,,,,,,,,,
,334,CS,Credits,,,,,,,,,,
,335,SWIFT,SwiftCash,,,,,,,,,,
,336,FIX,FIX,,,0x0221312B,0x022D2533,0x23,0x5F,0x3C,,,
,337,CPC,CPChain,,,,,,,,,,
,338,VGO,VirtualGoodsToken,,,,,,,,,,
,339,DVT,DeVault,,,,,,,,,,
,340,N8V,N8VCoin,,,,,,,,,,
,341,MTNS,OmotenashiCoin,,,,,,,,,,
,342,BLAST,BLAST,,,,,,,,,,
,343,DCT,DECENT,,,,,,,,,,
,344,AUX,Auxilium,,,,,,,,,,
,345,USDP,USDP,,,,,,,,,,
,346,HTDF,HTDF,,,,,,,,,,
,347,YEC,Ycash,,,,,,,,,,
,348,QLC,QLC Chain,,,,,,,,,,
,349,TEA,Icetea Blockchain,,,,,,,,,,
,350,ARW,ArrowChain,,,,,,,,,,
,351,MDM,Medium,,,,,,,,,,
,352,CYB,Cybex,,,,,,,,,,
,353,LTO,LTO Network,,,,,,,,,,
,355,AEON,Aeon,,,,,,,,,,
,356,RES,Resistance,,,,,,,,,,
🟢,357,AYA,Aryacoin,secp256k1,sha256,,,0x17,0x6f,0x97,,,
,358,DAPS,Dapscoin,,,,,,,,,,
