status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
🟥,109,PTC,Pesetacoin,,,,,,,,,,
✅,110,NRO,Neurocoin,secp256k1,sha256,,,0x35,0x75,0xb5,,,
🟥,111,ARK,ARK,,,,,,,,,,
✅,112,USC,UltimateSecureCashMain,secp256k1,sha256,0xEE8031E8,0xEE80286A,0x44,0x7d,0xbf,,,
✅,113,THC,Hempcoin,secp256k1,sha256,,,0x28,0x08,0xa8,,,
✅,114,LINX,Linx,secp256k1,sha256,,,0x4b,,0xcb,,,
✅,115,ECN,Ecoin,secp256k1,sha256,,,0x5c,0x14,0xdc,,,
✅,116,DNR,Denarius,secp256k1,sha256,,,0x1e,0x5a,0x9e,,,
✅,117,PINK,Pinkcoin,secp256k1,sha256,,,0x03,0x1c,0x83,,,
🟦,118,ATOM,Cosmos,ed25519,,,,,,,,,100
✅,119,PIVX,Pivx,secp256k1,sha256,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,,
✅,120,FLASH,Flashcoin,secp256k1,sha256,,,0x44,0x82,0xc4,,,
✅,121,ZEN,Horizen (Zencash),secp256k1,sha256,,,0x2089,0x2096,,,,
✅,122,PUT,Putincoin,secp256k1,sha256,,,0x37,0x14,0xb7,,,
🟥,123,ZNY,BitZeny,,,,,,,,,,
🟥,124,UNIFY,Unify,,,,,,,,,,
🟥,125,XST,StealthCoin,,,,,,,,,,
🟥,126,BRK,Breakout Coin,,,,,,,,,,
✅,127,XVC,Vcash,secp256k1,sha256,,,0x47,0x08,0xc7,,,
🟦,128,XMR,Monero,ed25519,keccak256,,,,,,,,100
🟥,129,VOX,Voxels,,,,,,,,,,
✅,130,NAV,NavCoin,secp256k1,sha256,,,0x35,0x55,0x96,,,
🟥,131,FCT,Factom Factoids,,,,,,,,,,
🟥,132,EC,Factom Entry Credits,,,,,,,,,,
✅,133,ZEC,Zcash,secp256k1,sha256,,,0x1CB8,0x1CBD,,,,
🟥,134,LSK,Lisk,,,,,,,,,,
🟥,135,STEEM,Steem,,,,,,,,,,
✅,136,XZC,Firo (Zcoin),secp256k1,sha256,,,0x52,0x07,0xd2,,,
🟥,137,RBTC,Rootstock,,,,,,,,,,
🟥,138,GB,Giftblock,,,,,,,,,,
🟥,139,RPT,RealPointCoin,,,,,,,,,,
✅,140,LBC,LBRY Credits,secp256k1,sha256,,,0x55,0x7a,0x1c,,,
✅,141,KMD,Komodo,secp256k1,sha256,,,0x3c,0x55,0xbc,,,
🟥,142,BSQ,bisq Token,,,,,,,,,,
🟥,143,RIC,Riecoin,,,,,,,,,,
✅,144,XRP,Ripple,secp256k1,sha256+ripemd160,,,0x00,0x05,,,,10
✅,145,BCH,Bitcoin Cash,secp256k1,sha256,,,0x6f,0xc4,0xef,,,100
✅,146,NEBL,Neblio,secp256k1,sha256,,,0x35,0x70,0xb5,,,
✅,147,ZCL,ZClassic,secp256k1,sha256,,,0x1CB8,0x1CBD,,,,
🟦,148,XLM,Stellar Lumens,ed25519,sha256,,,,,,,,100
🟥,149,NLC2,NoLimitCoin2,,,,,,,,,,
🟥,150,WHL,WhaleCoin,,,,,,,,,,
✅,151,ERC,EuropeCoin,secp256k1,sha256,,,0x21,,0xa8,,,
✅,152,DMD,Diamond,secp256k1,sha256,,,0x5a,0x08,0xda,,,
🟥,153,BTM,Bytom,,,,,,,,,,
🟥,154,BIO,Biocoin,,,,,,,,,,
🟥,155,XWCC,Whitecoin Classic,,,,,,,,,,
✅,156,BTG,Bitcoin Gold,secp256k1,sha256,,,0x26,0x17,,,,
🟥,157,BTC2X,Bitcoin 2x,,,,,,,,,,
🟥,158,SSN,SuperSkynet,,,,,,,,,,
✅,159,TOA,TOACoin,secp256k1,sha256,,,0x41,0x17,0xc1,,,
✅,160,BTX,Bitcore,secp256k1,sha256,,,0x03,0x7D,,,,
✅,161,ACC,Adcoin,secp256k1,sha256,,,0x17,,0xb0,,,
🟥,162,BCO,Bridgecoin,,,,,,,,,,
✅,163,ELLA,Ellaism,secp256k1,keccak256,,,,,,TRUE,,
🟥,164,PIRL,Pirl,,,,,,,,,,
🟥,165,XNO,Nano,,,,,,,,,,
✅,166,VIVO,Vivo,secp256k1,sha256,,,0x46,0x0a,0xc6,,,
✅,167,FRST,Firstcoin,secp256k1,sha256,,,0x23,,0xa3,,,
✅,168,HNC,Helleniccoin,secp256k1,sha256,,,0x30,,0xb0,,,
🟥,169,BUZZ,BUZZ,,,,,,,,,,
🟥,170,MBRS,Ember,,,,,,,,,,
🟥,171,HC,Hcash,,,,,,,,,,
✅,172,HTML,HTMLCOIN,secp256k1,keccak256,,,,,,TRUE,,
🟥,173,ODN,Obsidian,,,,,,,,,,
🟥,174,ONX,OnixCoin,,,,,,,,,,
✅,175,RVN,Ravencoin,secp256k1,sha256,,,0x3c,0x7a,,,,
✅,176,GBX,GoByte,secp256k1,sha256,,,0x26,0x0a,0xc6,,,
✅,177,BTCZ,BitcoinZ,secp256k1,sha256,,,0x1CB8,0x1CBD,,,,
✅,178,POA,Poa,secp256k1,keccak256,,,,,,TRUE,,
✅,179,NYC,NewYorkCoin,secp256k1,sha256,,,0x3c,0x16,0xbc,,,
🟥,180,MXT,MarteXcoin,,,,,,,,,,
✅,181,WC,Wincoin,secp256k1,sha256,,,0x49,0x1c,0xc9,,,
✅,182,MNX,Minexcoin,secp256k1,sha256,,,0x4b,,,,,
✅,183,BTCP,Bitcoin Private,secp256k1,sha256,,,0x1325,0x13AF,,,,
🟥,184,MUSIC,Musicoin,,,,,,,,,,
✅,185,BCA,Bitcoin Atom,secp256k1,sha256,,,0x17,0x0a,,,,
✅,186,CRAVE,Crave,secp256k1,sha256,,,0x46,0x55,0x99,,,
🟥,187,STAK,STRAKS,,,,,,,,,,
🟥,188,WBTC,World Bitcoin,,,,,,,,,,
🟥,189,LCH,LiteCash,,,,,,,,,,
✅,190,EXCL,ExclusiveCoin,secp256k1,sha256,,,0x21,0x89,0xa1,,,
✅,191,LYNX,Lynx,secp256k1,sha256,,,0x2d,0x32,0xad,,,
✅,192,LCC,LitecoinCash,secp256k1,sha256,,,0x1c,,0xb0,,,
🟥,193,XFE,Feirm,,,,,,,,,,
🟦,194,EOS,EOS,secp256k1,sha256,,,,,,,,100
✅,195,TRX,Tron,secp256k1,keccak256,,,,,,,,100
✅,196,KOBO,Kobocoin,secp256k1,sha256,,,0x23,0x1c,0xa3,,,
✅,197,HUSH,HUSH,secp256k1,sha256,,,0x1CB8,0x1CBD,,,,
🟥,198,BAN,Banano,,,,,,,,,,
🟥,199,ETF,ETF,,,,,,,,,,
✅,200,OMNI,Omni,secp256k1,keccak256,,,,,,TRUE,,
🟥,201,BIFI,BitcoinFile,,,,,,,,,,
🟥,202,UFO,Uniform Fiscal Object,,,,,,,,,,
🟥,203,CNMC,Cryptonodes,,,,,,,,,,
🟥,204,BCN,Bytecoin,,,,,,,,,,
🟥,205,RIN,Ringo,,,,,,,,,,
🟥,206,ATP,Alaya,,,,,,,,,,
🟥,207,EVT,everiToken,,,,,,,,,,
🟥,208,ATN,ATN,,,,,,,,,,
🟥,209,BIS,Bismuth,,,,,,,,,,
🟥,210,NEET,NEETCOIN,,,,,,,,,,
🟥,211,BOPO,BopoChain,,,,,,,,,,
🟥,212,OOT,Utrum,,,,,,,,,,
🟥,213,ALIAS,Alias,,,,,,,,,,
✅,214,MONK,Monkey Project,secp256k1,sha256,0x0488DDE4,,0x33,0x1c,0x37,,,
🟥,215,BOXY,BoxyCoin,,,,,,,,,,
🟥,216,FLO,Flo,,,,,,,,,,
✅,217,MEC,Megacoin,secp256k1,sha256,,,0x32,,0xB2,,,
✅,218,BTDX,BitCloud,secp256k1,sha256,,,0x19,,0x99,,,
✅,219,XAX,Artax,secp256k1,sha256,,,0x17,0x1CBD,0x97,,,
✅,220,ANON,ANON,secp256k1,sha256,,,0x0582,0x5389,,,,
✅,221,LTZ,LitecoinZ,secp256k1,sha256,,,0x0AB3,0x0AB8,,,,
✅,222,BITG,Bitcoin Green,secp256k1,sha256,,,0x26,0x1CBD,0x2E,,,
🟥,223,ICP,Internet Computer (DFINITY),,,,,,,,,,
🟥,224,SMART,Smartcash,,,,,,,,,,
✅,225,XUEZ,XUEZ,secp256k1,sha256,0x0221312B,0x022D2533,0x4b,0x12,0xd4,,,
🟥,226,HLM,Helium,,,,,,,,,,
🟥,227,WEB,Webchain,,,,,,,,,,
🟥,228,ACM,Actinium,,,,,,,,,,
🟥,229,NOS,NOS Stable Coins,,,,,,,,,,
🟥,230,BITC,BitCash,,,,,,,,,,
✅,231,HTH,Help The Homeless Coin,secp256k1,keccak256,,,,,,TRUE,,
🟥,232,TZC,Trezarcoin,,,,,,,,,,
🟥,233,VAR,Varda,,,,,,,,,,
🟥,234,IOV,IOV,,,,,,,,,,
🟥,235,FIO,FIO,,,,,,,,,,
✅,236,BSV,BitcoinSV,secp256k1,sha256,,,,,,,,100
🟥,237,DXN,DEXON,,,,,,,,,,
🟥,238,QRL,Quantum Resistant Ledger,,,,,,,,,,
🟥,239,PCX,ChainX,,,,,,,,,,
🟥,240,LOKI,Loki,,,,,,,,,,
🟥,241,IW,Imagewallet,,,,,,,,,,
🟥,242,NIM,Nimiq,,,,,,,,,,
🟥,243,SOV,Sovereign Coin,,,,,,,,,,
🟥,244,JCT,Jibital Coin,,,,,,,,,,
🟥,245,SLP,Simple Ledger Protocol,,,,,,,,,,
✅,246,EWT,Energy Web,secp256k1,keccak256,,,,,,TRUE,,
🟥,247,UC,Ulord,,,,,,,,,,
🟥,248,EXOS,EXOS,,,,,,,,,,
🟥,249,ECA,Electra,,,,,,,,,,
🟥,250,SOOM,Soom,,,,,,,,,,
🟥,251,XRD,Redstone,,,,,,,,,,
🟥,252,FREE,FreeCoin,,,,,,,,,,
🟥,253,NPW,NewPowerCoin,,,,,,,,,,
🟥,254,BST,BlockStamp,,,,,,,,,,
🟥,255,STH,SmartHoldem,,,,,,,,,,
🟥,256,NANO,Bitcoin Nano,,,,,,,,,,
🟥,257,BTCC,Bitcoin Core,,,,,,,,,,
🟥,258,ZP,Zen Protocol,,,,,,,,,,
🟥,259,ZEST,Zest,,,,,,,,,,
🟥,260,ABT,ArcBlock,,,,,,,,,,
🟥,261,PION,Pion,,,,,,,,,,
🟥,262,DT3,DreamTeam3,,,,,,,,,,
